evaluation_id,question_id,answerable,retrieval,reranking,generation,total
answerable:AAL/2013/page_18.pdf-1,AAL/2013/page_18.pdf-1,True,46.52233235538006,16.86420850455761,0.20791683346033096,81.78533334285021
answerable:AAPL/2003/page_48.pdf-2,AAPL/2003/page_48.pdf-2,True,49.642499536275864,20.270291715860367,0.020042061805725098,73.38775042444468
answerable:AAPL/2004/page_68.pdf-1,AAPL/2004/page_68.pdf-1,True,50.06379168480635,11.17541640996933,0.021374784409999847,64.61895909160376
answerable:AAPL/2006/page_100.pdf-3,AAPL/2006/page_100.pdf-3,True,45.12354172766209,13.50391749292612,0.8423328399658203,62.54750024527311
answerable:AAPL/2006/page_131.pdf-2,AAPL/2006/page_131.pdf-2,True,47.615417279303074,17.20487419515848,0.017041340470314026,67.97912437468767
answerable:ABC/2005/page_49.pdf-4,ABC/2005/page_49.pdf-4,True,52.07979213446379,22.918209433555603,0.021374784409999847,78.19920871406794
answerable:ADBE/2008/page_74.pdf-1,ADBE/2008/page_74.pdf-1,True,46.13812454044819,13.662667013704777,0.043750740587711334,62.65237461775541
answerable:AES/2001/page_85.pdf-2,AES/2001/page_85.pdf-2,True,51.9882095977664,23.29033426940441,0.04087481647729874,78.22879124432802
answerable:ALLE/2015/page_24.pdf-1,ALLE/2015/page_24.pdf-1,True,49.873082898557186,14.28858283907175,0.018958933651447296,67.42345727980137
answerable:AMAT/2013/page_37.pdf-1,AMAT/2013/page_37.pdf-1,True,50.4940003156662,16.45100023597479,0.019665807485580444,70.13091631233692
answerable:AMT/2003/page_27.pdf-1,AMT/2003/page_27.pdf-1,True,47.897834330797195,11.541374959051609,,61.40249967575073
answerable:AMT/2006/page_113.pdf-3,AMT/2006/page_113.pdf-3,True,77.07770727574825,34.91820767521858,0.02716667950153351,115.65816588699818
answerable:AMT/2007/page_127.pdf-4,AMT/2007/page_127.pdf-4,True,55.27300015091896,20.799833349883556,0.036957673728466034,79.41625081002712
answerable:AMT/2012/page_118.pdf-2,AMT/2012/page_118.pdf-2,True,68.95887479186058,24.317708797752857,0.03583356738090515,96.5358754619956
answerable:AON/2007/page_171.pdf-3,AON/2007/page_171.pdf-3,True,49.46816712617874,17.72745791822672,0.01774914562702179,70.38374990224838
answerable:AON/2007/page_188.pdf-3,AON/2007/page_188.pdf-3,True,63.25099989771843,16.048625111579895,0.02237502485513687,82.97712542116642
answerable:AOS/2010/page_18.pdf-2,AOS/2010/page_18.pdf-2,True,138.14470823854208,104.008499532938,0.01987442374229431,245.2351665124297
answerable:AWK/2013/page_122.pdf-3,AWK/2013/page_122.pdf-3,True,249.3428746238351,94.46549974381924,0.021666288375854492,346.63554187864065
answerable:AWK/2014/page_121.pdf-1,AWK/2014/page_121.pdf-1,True,117.23062489181757,9.930416010320187,0.021249987185001373,130.67429047077894
answerable:AWK/2017/page_148.pdf-1,AWK/2017/page_148.pdf-1,True,43.71916688978672,13.523957692086697,0.021750107407569885,61.14774942398071
answerable:BKNG/2016/page_33.pdf-2,BKNG/2016/page_33.pdf-2,True,62.01504170894623,25.551917031407356,0.022834166884422302,91.50304086506367
